1 | Barron, E. J. | Miami Univ., Coral Gables, FL. | 1980 |
2 | Panangaden, Prakash | THE UNIVERSITY OF WISCONSIN - MILWAUKEE. | 1980 |
3 | Cheung, L. H. | National Aeronautics and Space Administration. Goddard Space Flight Center, Greenbelt, MD. | 1980 |
4 | Wilson, T. H. | West Virginia University, Morgantown. | 1980 |
5 | Dykema, Pieter Geer | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1980 |
6 | Carlson, R. W. | California Univ., San Diego. | 1980 |
7 | Nastrom, Gregory Dale | UNIVERSITY OF MINNESOTA. | 1980 |
8 | Watson, Charles Coffey | YALE UNIVERSITY. | 1980 |
9 | Gennery, D. B. | Stanford Univ., CA. | 1980 |
10 | Vonfrese, R. R. B. | Purdue University | 1980 |
11 | Thiessen, R. L. | State University of New York, Albany. | 1980 |
12 | Kafka, A. L. | State University of New York, Stony Brook. | 1980 |
13 | Drake, Stephen Alan | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1980 |
14 | Fegley, Melvin Bruce, Jr. | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1980 |
15 | Christensen, Randy B. | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN. | 1980 |
16 | Melcher, Charles Lee | WASHINGTON UNIVERSITY. | 1980 |
17 | Meyer, Stephen S. | PRINCETON UNIVERSITY. | 1980 |
18 | Faul, David Duane | UNIVERSITY OF CALIFORNIA, DAVIS. | 1980 |
19 | Kandrup, Henry Emil | THE UNIVERSITY OF CHICAGO. | 1980 |
20 | Durrance, Samuel Thornton | UNIVERSITY OF COLORADO AT BOULDER. | 1980 |
21 | Clark, Robert Edward Holmes | THE PENNSYLVANIA STATE UNIVERSITY. | 1980 |
22 | Kan, Lain-Chyh | UNIVERSITY OF ALABAMA IN HUNTSVILLE. | 1980 |
23 | Hohlfeld, Robert Grant | CORNELL UNIVERSITY. | 1980 |
24 | Cappallo, Roger James | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1980 |
25 | McNutt, Ralph Leroy, Jr. | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1980 |
26 | Baliunas, Sallie Louise | HARVARD UNIVERSITY. | 1980 |
27 | Giuliani, John Lawrence, Jr. | YALE UNIVERSITY. | 1980 |
28 | Hoessel, John Greg | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1980 |
29 | Junkkarinen, Vesa Tapio | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1980 |
30 | Karpen, Judith Tobi | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1980 |
31 | McCarthy, John Francis | CORNELL UNIVERSITY. | 1980 |
32 | Nordmann, J. C. | Cornell Univ., Ithaca, NY. | 1980 |
33 | Dennis, N. G. | Alabama Univ., Huntsville. | 1980 |
34 | Hrivnak, Bruce John | UNIVERSITY OF PENNSYLVANIA. | 1980 |
35 | Wagner, J. K. | Pittsburgh Univ., PA. | 1980 |
36 | McKee, John David | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1980 |
37 | Romanishin, William | THE UNIVERSITY OF ARIZONA. | 1980 |
38 | Twarog, Bruce Anthony | YALE UNIVERSITY. | 1980 |
39 | Vishniac, Ethan Tecumseh | HARVARD UNIVERSITY. | 1980 |
40 | Sauls, J. A. | State University of New York, Stony Brook. | 1980 |
41 | Topka, Kenneth Paul | HARVARD UNIVERSITY. | 1980 |
42 | Zimmermann, Mark Edward | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1980 |
43 | Parish, J. L. | Iowa Univ., Iowa City. | 1980 |
44 | Cheung, Cynthia Yan-Oi. | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1980 |
45 | Feldt, Andrew Neil | THE UNIVERSITY OF OKLAHOMA. | 1980 |
46 | Booth, M. C. | California Univ., Los Angeles. | 1980 |
47 | Caudell, Thomas Preston | THE UNIVERSITY OF ARIZONA. | 1980 |
48 | Drummond, Jack Donald, III | NEW MEXICO STATE UNIVERSITY. | 1980 |
49 | Brown, Douglas Nason | THE UNIVERSITY OF MICHIGAN. | 1980 |
50 | Boroson, Todd Allan | THE UNIVERSITY OF ARIZONA. | 1980 |
51 | Choi, Kyu Hong | UNIVERSITY OF PENNSYLVANIA. | 1980 |
52 | Duncan, Martin James | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1980 |
53 | Fuenmayor, Francisco Jose | CASE WESTERN RESERVE UNIVERSITY. | 1980 |
54 | Gurgiolo, C. A. | Washington Univ., Seattle. | 1980 |
55 | Hohlfeld, R. G. | Cornell Univ., Ithaca, NY. | 1980 |
56 | Kahn, Steven Michael | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1980 |
57 | Pacht, Erich | THE OHIO STATE UNIVERSITY. | 1980 |
58 | Ray, James R. | RICE UNIVERSITY. | 1980 |
59 | Toy, Larry Gene-Shiao | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1980 |
