n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Nazzario, Raymond Charles | BAYLOR UNIVERSITY | 2002 | male | 3 | 2 | 2007 | 4 | 2 | 2007 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
2 | Holmes, Elizabeth Katherine | University of Florida Department of Astronomy | 2002 | female | 1 | 2 | 2003 | 3 | 5 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 1 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
3 | Baker, Brian Douglas | UNIVERSITY OF FLORIDA | 2002 | male | 1 | 1 | 2014 | 1 | 2 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |
4 | Thornton, Robert J., Jr. | UNIVERSITY OF HAWAI'I | 2002 | male | 2 | 1 | 2016 | 3 | 34 | 2017 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 10 | 3 | 5 | 3 | 2 | 3 |
5 | Ventrella, Jason Firmin | The University of Texas at Austin | 2002 | male | 1 | 1 | 2003 | 1 | 3 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
6 | Tumlinson, Jason Blake | UNIVERSITY OF COLORADO AT BOULDER | 2002 | male | 5 | 15 | 2013 | 17 | 86 | 2017 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 2 | 2 | 3 | 0 | 0 | 2 | 3 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 2 | 6 | 5 | 4 | 4 | 2 | 3 | 8 | 3 | 3 | 5 | 7 | 8 | 8 | 8 | 8 | 5 | 11 |
7 | Klinko, Peter | TEXAS CHRISTIAN UNIVERSITY | 2002 | male | 3 | 1 | 2004 | 3 | 1 | 2004 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
8 | Bendo, George John | UNIVERSITY OF HAWAI'I | 2002 | male | 4 | 15 | 2016 | 4 | 172 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 1 | 0 | 2 | 1 | 1 | 1 | 2 | 0 | 2 | 1 | 0 | 2 | 1 |  0 | 0 | 0 | 1 | 0 | 3 | 3 | 6 | 4 | 11 | 8 | 4 | 9 | 29 | 9 | 26 | 17 | 17 | 17 | 9 |
9 | Aars, Christian Edward | TEXAS CHRISTIAN UNIVERSITY | 2002 | male | 2 | 1 | 2005 | 2 | 2 | 2005 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
10 | Weiner, Jonathon Michael | University of California, Berkeley | 2002 | male | 2 | 5 | 2009 | 3 | 7 | 2009 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 3 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
11 | Smith, Nathan I. | UNIVERSITY OF MINNESOTA | 2002 | male | 19 | 78 | 2017 | 39 | 203 | 2017 | 0 | 2 | 2 | 4 | 5 | 6 | 6 | 9 | 9 | 6 | 7 | 5 | 4 | 5 | 7 | 4 | 4 | 3 | 2 | 4 |  2 | 5 | 8 | 10 | 7 | 7 | 8 | 12 | 14 | 17 | 11 | 10 | 9 | 11 | 21 | 10 | 10 | 13 | 21 | 23 |
12 | Roe, Henry Garfitt | UNIVERSITY OF CALIFORNIA, BERKELEY | 2002 | male | 6 | 10 | 2012 | 11 | 42 | 2017 | 0 | 0 | 0 | 0 | 2 | 4 | 2 | 2 | 2 | 0 | 0 | 2 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 8 | 4 | 6 | 6 | 8 | 3 | 3 | 2 | 1 | 1 | 4 | 1 | 0 | 2 | 0 |
