n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Collins, Karen | University of Louisville | 2008 | female | 1 | 4 | 2017 | 2 | 23 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 2 | 1 | 2 | 3 | 4 |
2 | Chen, Chi Ming Hubert | California Institute of Technology | 2008 | female | 4 | 3 | 2011 | 19 | 38 | 2016 | 0 | 0 | 1 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 2 | 2 | 0 | 3 | 11 | 9 | 4 | 4 | 8 | 2 | 5 | 3 | 3 |
3 | Christopher, Micol Huw | California Institute of Technology | 2008 | female | 2 | 0 | 2008 | 7 | 1 | 2010 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  3 | 1 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
4 | Cavagnolo, Kenneth W. | Michigan State University | 2008 | male | 3 | 3 | 2011 | 7 | 6 | 2011 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 4 | 3 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |
5 | Welikala, Niraj D. | University of Pittsburgh | 2008 | male | 2 | 2 | 2016 | 2 | 48 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 1 | 8 | 16 | 6 | 4 | 9 |
6 | Bauer, Amanda Elaine | The University of Texas at Austin | 2008 | female | 3 | 3 | 2013 | 11 | 49 | 2017 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 |  1 | 0 | 2 | 2 | 3 | 3 | 0 | 1 | 9 | 10 | 9 | 7 | 6 | 4 |
7 | Miller, Kenneth A. | University of Connecticut | 2008 | male | 1 | 4 | 2012 | 2 | 9 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 0 | 0 | 1 | 2 |
8 | Robishaw, Timothy | University of California, Berkeley | 2008 | male | 2 | 2 | 2015 | 4 | 18 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 4 | 2 | 0 | 4 | 3 | 2 | 1 | 4 | 1 |
9 | Salviander, Sarah Triplett | The University of Texas at Austin | 2008 | female | 4 | 2 | 2015 | 9 | 9 | 2015 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |  1 | 0 | 1 | 2 | 3 | 2 | 2 | 3 | 0 | 1 | 2 | 0 | 1 | 0 |
10 | Covington, Matthew D. | University of California, Santa Cruz | 2008 | male | 2 | 3 | 2015 | 2 | 4 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 |
