 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 3 | Rauscher, Emily Christine | Columbia University | 2010 | female | 6 | 8 | 2015 | 12 | 10 | 2016 | 0 | 1 | 2 | 1 | 0 | 2 | 0 | 2 | 1 | 2 | 3 | 0 | 0 | 1 | 2 | 1 | 1 | 7 | 0 | 3 | 1 | 2 | 3 | 1 |
 8 | Lee, Christina On-Yee | University of California, Berkeley | 2010 | female | 5 | 3 | 2012 | 9 | 18 | 2017 | 1 | 0 | 1 | 0 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 2 | 3 | 1 | 3 | 2 | 2 | 3 | 2 |
 12 | Greissl, Julia Jennifer | The University of Arizona | 2010 | female | 3 | 0 | 2010 | 5 | 0 | 2010 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |
 14 | Tam, Heywood | California Institute of Technology | 2010 | male | 1 | 0 | 2010 | 4 | 2 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 2 | 0 | 0 | 0 | 0 |
 15 | Ackerman Mayer, Lotty | California Institute of Technology | 2010 | female | 1 | 0 | 2010 | 1 | 0 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
 17 | Berzak, Laura Florence | Princeton University | 2010 | female | 1 | 0 | 2010 | 1 | 0 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
 19 | Hambrick, David Clay | Princeton University | 2010 | male | 2 | 2 | 2011 | 4 | 2 | 2011 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |
 25 | Arnold, Kam Stahly | University of California, Berkeley | 2010 | male | 1 | 0 | 2010 | 1 | 17 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 4 | 5 | 2 |
 31 | Diamond-Stanic, Aleksandar Milan | The University of Arizona | 2010 | male | 4 | 3 | 2016 | 18 | 26 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 0 | 6 | 7 | 4 | 4 | 6 | 2 | 3 | 3 |
 33 | Keisler, Ryan Scott | The University of Chicago | 2010 | male | 2 | 3 | 2015 | 11 | 57 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 8 | 8 | 10 | 16 | 6 | 11 | 6 |
 35 | Reichard, Timothy A. | The Johns Hopkins University | 2010 | male | 3 | 0 | 2010 | 4 | 1 | 2012 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
 38 | Ruchti, Gregory Randal | The Johns Hopkins University | 2010 | male | 2 | 6 | 2016 | 6 | 22 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 3 | 3 | 2 | 2 | 4 | 7 | 3 |
 40 | Cucchiara, Antonino | The Pennsylvania State University | 2010 | male | 3 | 7 | 2016 | 35 | 33 | 2017 | 0 | 1 | 0 | 0 | 1 | 1 | 2 | 0 | 2 | 0 | 2 | 1 | 0 | 12 | 7 | 5 | 7 | 4 | 7 | 3 | 3 | 6 | 5 | 8 |
 58 | Johnson, Luke C. | University of California, Santa Cruz | 2010 | male | 5 | 6 | 2017 | 15 | 23 | 2017 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 2 | 1 | 2 | 1 | 1 | 3 | 3 | 5 | 2 | 6 | 2 | 2 | 6 | 2 |
 62 | Newburgh, Laura | Columbia University | 2010 | female | 1 | 0 | 2010 | 3 | 23 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 2 | 3 | 3 | 9 | 3 |
 68 | Marinova, Margarita M. | California Institute of Technology | 2010 | female | 3 | 1 | 2011 | 5 | 10 | 2015 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 3 | 2 | 0 | 4 | 1 | 3 | 0 |
 69 | Metz, Joannah M. | California Institute of Technology | 2010 | female | 4 | 0 | 2010 | 6 | 0 | 2010 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 0 |
